priser på realiserede handler	ejendomskategori	område	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	Egedal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13376	13229	14440	14365	16158	16556	16861	19128	19778	22805	23104	23315	23896	23312	23091	23463	21964	22238	21679	20977	21094	19313	18656	19074	17870	19616	19151	18213	18319	18681	17818	18423	17465	17619	17508	16927	17129	16240	17645	17419	17197	17107	17314	17656	18258	18769	17929	19846
Første udbudspris	Parcel-/rækkehus	Fredensborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15547	15540	15659	16297	16773	17886	20677	21477	24436	25302	26495	27601	26410	27266	26667	26801	26327	25670	26592	24738	22642	21335	20842	20987	21051	20253	20319	20359	20932	20361	19329	20654	19159	18998	20588	19386	18252	18793	17997	18368	19154	19082	19972	18691	19213	20135	20231	20039
Første udbudspris	Parcel-/rækkehus	Frederikssund	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12144	11930	12212	13560	13298	14562	14497	16217	17488	18580	20003	19803	21074	20557	21750	20148	20149	20571	20896	18285	18120	17326	16247	15818	16906	16786	16278	15399	16980	15788	14736	15035	14942	15116	14196	14094	13823	14045	13935	13203	13111	14432	14199	13914	14309	14166	14910	14724
Første udbudspris	Parcel-/rækkehus	Furesø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	16286	16583	16796	17306	18085	19051	21325	20339	25122	26149	26834	29096	29613	29346	27344	29056	29034	26781	26733	26618	23774	24544	24368	25069	22975	23472	23796	23797	23329	24437	24451	23412	24684	22556	22348	22962	23239	23213	21969	23617	23542	23852	24036	22930	25117	25393	26071	25569
Første udbudspris	Parcel-/rækkehus	Gribskov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	12472	12805	13582	13752	14296	14653	16023	15852	18587	18626	20929	19083	21607	21410	20503	20874	20388	19864	19408	19221	17852	17785	16716	16057	15654	16101	15617	16070	14681	15918	14651	14541	12758	13651	13217	12725	12806	13562	12199	13152	12639	12963	13276	12602	13070	14076	13867	13632
Første udbudspris	Parcel-/rækkehus	Halsnæs	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	11054	10906	11354	11820	11844	12958	13502	14471	15200	16530	17979	18871	18795	18932	18185	18444	18131	18232	17615	16062	15809	14383	13564	14466	13660	12888	12088	12987	11899	11321	12029	10688	10906	11358	11208	11983	10650	10626	11619	10881	10098	10007	10494	9412	11023	10240	11144	10604
Første udbudspris	Parcel-/rækkehus	Helsingør	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15280	15499	16021	16011	17736	18945	20817	22692	23115	24701	26358	27325	27403	26556	26563	25871	27362	24228	24940	23334	21148	20186	20808	21061	21035	20363	21429	20401	21908	20022	20298	19732	20766	18594	18798	21050	18251	17758	18425	18759	18065	18456	18855	19410	19318	19994	20052	19221
Første udbudspris	Parcel-/rækkehus	Hillerød	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	13801	13894	14683	14781	15313	16956	17606	19597	19976	21319	22623	24532	25119	23841	23965	24237	22160	22970	23900	21197	20687	19240	20241	19296	18275	19265	18520	19325	20086	18753	19105	18077	17983	18804	16473	17483	17803	16800	16584	17375	17302	17114	17755	17691	17362	18803	18543	17900
Første udbudspris	Parcel-/rækkehus	Hørsholm	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	18591	18813	20834	21073	22510	23851	26251	26849	28700	32988	34904	35928	34343	32291	32383	31433	32840	32255	31191	30441	25235	25534	24995	27558	26076	27168	27945	27338	26773	28348	28337	27442	26758	25716	26054	25186	28323	24325	25502	25022	27956	26528	26838	25047	27021	27183	27102	27372
Første udbudspris	Parcel-/rækkehus	Rudersdal	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	19158	18940	20586	20682	22213	24061	25968	27537	30201	35070	34236	36032	35169	36573	35606	35439	33585	33804	33938	30109	31249	28464	28895	29430	29049	30088	28761	30523	32124	29464	28359	27785	28698	27607	27943	27834	27982	27738	28590	28558	28240	27826	28509	27672	28852	29429	30295	30497
