priser på realiserede handler	ejendomskategori	postnumre	1992K1	1992K2	1992K3	1992K4	1993K1	1993K2	1993K3	1993K4	1994K1	1994K2	1994K3	1994K4	1995K1	1995K2	1995K3	1995K4	1996K1	1996K2	1996K3	1996K4	1997K1	1997K2	1997K3	1997K4	1998K1	1998K2	1998K3	1998K4	1999K1	1999K2	1999K3	1999K4	2000K1	2000K2	2000K3	2000K4	2001K1	2001K2	2001K3	2001K4	2002K1	2002K2	2002K3	2002K4	2003K1	2003K2	2003K3	2003K4	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Første udbudspris	Parcel-/rækkehus	6600 Vejen	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7230	6973	6646	6900	6983	6988	8031	7882	7683	9013	8272	8507	9153	9093	9735	9988	10357	10418	12265	9175	9207	10520	10020	10373	9928	9630	9648	10370	9767	9567	9671	9859	11305	9871	9188	9183	7391	9651	10538	8724	9704	9774	8935	8602	9654	10040	8824	7501
Første udbudspris	Parcel-/rækkehus	6621 Gesten	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7197	5780	5755	..	..	..	7146	7224	7380	..	..	8481	8999	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6622 Bække	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4459	..	..	5585	..	..	..	5870	5508	5696	7148	..	6114	6254	6395	..	..	..	..	6070	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7027	..	..	..	..	..	..	4815	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6623 Vorbasse	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5646	5725	..	..	5399	..	..	..	7030	5970	..	..	..	9149	..	..	..	6120	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6630 Rødding	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4650	5161	5240	5092	4862	5646	5812	5209	6159	5753	5937	6162	5865	6177	6757	4840	7542	6949	7605	8388	9045	7419	6716	6663	7024	6420	6857	7844	6613	5746	6329	6250	6876	6913	6979	5586	6212	7383	6969	6257	7914	5988	5316	5982	6095	4632	4925	6388
Første udbudspris	Parcel-/rækkehus	6640 Lunderskov	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6871	8534	5837	7225	6229	6062	7066	5225	5530	7574	9793	10957	9899	10581	9508	10013	10420	11358	10823	..	11901	11528	10039	11566	11401	11451	10025	11078	10898	..	..	..	10595	9874	..	9359	..	8998	8143	11830	9698	11364	9780	9363	8329	..	..	..
Første udbudspris	Parcel-/rækkehus	6650 Brørup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5948	5885	5540	5881	5753	5926	5821	6696	7136	6596	6016	6586	7502	6577	7649	7406	8240	9357	8734	7574	9369	8990	7446	9541	7820	7820	9663	9748	7588	9378	7490	6036	8516	7804	8249	6479	..	6874	7235	6548	7559	7237	7509	7671	6770	6242	7609	7054
Første udbudspris	Parcel-/rækkehus	6660 Lintrup	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4408	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6670 Holsted	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4625	4885	..	4551	5661	5902	5248	5449	5386	5498	6268	5442	6303	5602	7048	6175	6089	6912	6914	5732	..	6039	..	8335	..	6256	6118	7857	6227	..	..	7318	5946	..	5038	6110	..	5372	5847	5341	..	4407	6940	4784	5546	..	..	..
Første udbudspris	Parcel-/rækkehus	6682 Hovborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5877	6401	..	..	..	..	..	..	..	..	..	..	..	..	..	6094	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6683 Føvling	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4785	..	..	..	6753	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Første udbudspris	Parcel-/rækkehus	6690 Gørding	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	3429	..	..	..	5443	5378	5503	6548	5390	5797	..	..	5256	7983	7661	..	..	6756	..	..	..	..	..	6366	..	..	7361	7546	..	..	..	..	..	..	6702	..	..	6028	..	..	..	7266	..	..	6702	..	..	..
Første udbudspris	Parcel-/rækkehus	6700 Esbjerg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7450	8360	8081	8643	8923	9176	9132	10212	10898	11155	11274	12622	13148	13311	12971	12608	13049	13170	11736	13808	12703	11809	12783	13449	11258	13043	13473	11419	12585	13920	13009	11233	12568	12055	12354	12343	11628	12742	12965	11708	11959	12113	13587	13881	12331	12639	12097	12923
Første udbudspris	Parcel-/rækkehus	6705 Esbjerg Ø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7053	7237	7293	7935	7253	8200	7995	9124	9083	9550	10219	9450	9690	9930	11208	10482	10276	11588	10914	11035	10551	10478	11658	10765	10750	11270	11391	11197	10789	12184	11425	9859	11042	9747	10585	11417	11008	11356	10483	10705	11499	10112	10488	10510	10649	10873	10819	10564
Første udbudspris	Parcel-/rækkehus	6710 Esbjerg V	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8315	8290	8729	9299	8668	9676	9854	9803	11540	10905	11123	13030	12779	12459	13102	13660	13421	14039	13785	14070	13889	13789	13101	13380	13404	14356	12717	13328	12952	13437	13409	12933	13307	13360	12620	12518	13547	13130	13563	12878	13315	13338	13252	13301	13019	13891	14399	13397
Første udbudspris	Parcel-/rækkehus	6715 Esbjerg N	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7366	8069	7519	7487	9090	9036	8344	9637	10388	9926	10169	10893	11428	11127	12025	12773	11344	12110	11629	10187	11554	11871	11592	10971	12287	12829	11896	12037	11130	11480	11694	11833	11606	11847	11251	12956	11232	11740	12270	10717	12702	10379	13137	10996	11488	10661	11741	12407
Første udbudspris	Parcel-/rækkehus	6720 Fanø	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	6212	..	8912	7332	8726	7538	8352	10822	9440	..	8457	..	10596	..	8809	..	..	12066	..	..	..	..	13046	11353	13392	11930	..	..	10094	9622	11699	..	..	..	..	..	11376	..	..	..	..	11023	..	10564	10786	..	..	..
Første udbudspris	Parcel-/rækkehus	6731 Tjæreborg	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5778	..	7549	..	..	7601	6858	..	9094	9178	9637	..	11190	..	..	..	10504	..	12392	..	..	10502	9012	..	8920	10550	11162	..	12109	12917	12773	11232	10210	..	9655	..	11035	8451	..	11320	..	11812	..	10261	11409	12265	9618	9344
