bevægelsestype	ejendomskategori	postnumre	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Solgte boliger	Parcel-/rækkehus	3360 Liseleje	5	4	5	2	3	7	3	3	4	5	2	2	5	3	4	1	5	4	3	0	2	2	0	3	0	3	2	1	2	2	3	0	1	3	2	4	6	1	3	0	4	7	3	0	6	5	3	7
Solgte boliger	Parcel-/rækkehus	3370 Melby	0	4	6	2	7	5	5	1	2	0	3	3	1	1	4	2	1	2	1	2	0	1	2	0	0	2	3	0	2	3	2	2	2	1	1	1	0	1	1	1	3	1	4	0	0	1	2	0
Solgte boliger	Parcel-/rækkehus	3390 Hundested	33	31	33	25	31	30	31	22	31	34	24	11	30	25	24	25	19	15	14	10	17	24	22	17	14	19	16	20	22	26	21	24	12	21	18	14	17	13	18	25	22	19	20	21	17	41	25	21
Solgte boliger	Parcel-/rækkehus	3400 Hillerød	69	65	37	55	58	93	65	41	62	53	48	35	47	47	53	46	52	57	45	32	36	57	49	50	53	58	50	39	48	47	42	47	51	43	43	46	45	57	47	47	60	57	58	53	62	87	61	49
Solgte boliger	Parcel-/rækkehus	3450 Allerød	51	67	35	33	34	57	44	42	37	42	27	18	28	38	34	33	37	62	35	12	22	54	51	56	46	30	31	34	33	30	17	21	20	39	44	30	29	48	42	35	38	43	43	35	50	47	64	27
Solgte boliger	Parcel-/rækkehus	3460 Birkerød	62	52	40	42	28	60	38	29	42	21	34	19	31	36	30	26	41	34	18	20	19	37	25	43	41	44	36	33	37	34	43	23	16	38	26	56	34	31	40	39	35	51	38	40	44	52	44	29
Solgte boliger	Parcel-/rækkehus	3480 Fredensborg	35	28	19	29	25	30	35	33	27	29	19	8	20	25	17	16	25	17	14	10	9	23	25	25	25	31	20	27	26	17	23	14	14	24	22	26	19	29	21	25	24	25	19	21	32	32	27	20
Solgte boliger	Parcel-/rækkehus	3490 Kvistgård	2	2	0	2	3	2	3	5	2	2	1	4	3	1	2	2	3	1	3	0	1	2	1	1	5	2	3	3	1	3	2	2	1	1	4	1	0	4	0	6	3	3	1	1	2	3	3	4
Solgte boliger	Parcel-/rækkehus	3500 Værløse	45	55	49	27	46	45	43	24	30	34	22	14	30	34	28	33	35	39	28	13	16	43	36	45	55	47	43	39	33	33	28	21	43	37	37	37	36	40	45	38	39	48	45	37	56	60	41	47
Solgte boliger	Parcel-/rækkehus	3520 Farum	27	37	25	19	24	36	15	26	15	33	23	17	24	19	28	15	10	19	33	14	13	30	32	29	30	33	34	31	27	22	22	19	15	22	26	32	42	32	36	24	33	34	34	44	34	25	31	34
