ejendomskategori	postnumre	2004K1	2004K2	2004K3	2004K4	2005K1	2005K2	2005K3	2005K4	2006K1	2006K2	2006K3	2006K4	2007K1	2007K2	2007K3	2007K4	2008K1	2008K2	2008K3	2008K4	2009K1	2009K2	2009K3	2009K4	2010K1	2010K2	2010K3	2010K4	2011K1	2011K2	2011K3	2011K4	2012K1	2012K2	2012K3	2012K4	2013K1	2013K2	2013K3	2013K4	2014K1	2014K2	2014K3	2014K4	2015K1	2015K2	2015K3	2015K4	
Parcel-/rækkehus	9381 Sulsted	0	176	0	102	176	64	135	0	127	0	54	0	0	97	97	121	150	78	42	0	0	..	0	0	0	157	125	0	0	147	0	0	0	0	..	0	280	324	0	236	70	255	0	0	320	0	0	0
Parcel-/rækkehus	9382 Tylstrup	0	0	0	102	188	57	51	196	181	149	79	86	0	0	73	157	0	0	51	0	0	224	0	0	0	0	0	0	285	144	0	0	239	150	154	0	0	248	0	0	0	0	0	0	0	0	0	0
Parcel-/rækkehus	9400 Nørresundby	119	128	95	72	64	84	65	70	72	49	66	84	113	89	96	94	124	101	101	188	206	197	147	185	144	96	78	170	127	98	173	92	173	144	103	215	197	121	114	135	161	80	107	113	137	131	113	88
Parcel-/rækkehus	9430 Vadum	216	149	0	123	0	128	154	70	97	121	88	0	110	90	67	62	56	79	107	0	203	169	90	84	153	173	107	109	195	164	72	263	220	126	0	292	105	0	102	167	165	99	158	118	111	103	216	103
Parcel-/rækkehus	9440 Aabybro	127	185	127	140	150	142	100	210	169	109	150	101	123	104	119	98	141	96	90	140	151	155	206	120	179	158	205	153	127	193	147	176	165	152	86	129	261	86	138	169	221	139	206	397	111	180	162	161
Parcel-/rækkehus	9460 Brovst	246	164	126	281	318	172	262	210	257	399	223	90	299	286	227	108	74	141	150	187	165	204	162	197	420	241	333	256	629	217	187	427	224	241	326	278	249	300	137	397	189	506	407	327	549	210	286	236
Parcel-/rækkehus	9480 Løkken	120	151	127	146	135	128	227	89	149	144	149	199	211	140	121	240	218	243	251	115	260	243	211	0	231	454	183	386	370	302	143	213	355	386	335	0	298	262	467	352	266	627	378	331	422	231	271	206
Parcel-/rækkehus	9490 Pandrup	133	128	175	146	157	173	139	128	162	181	161	250	191	115	121	168	211	194	165	197	219	236	110	187	243	196	128	269	183	204	265	280	292	398	183	328	456	416	258	164	505	289	344	293	203	148	214	270
Parcel-/rækkehus	9492 Blokhus	45	0	0	0	146	153	188	94	176	140	300	75	182	131	206	288	490	234	294	0	0	164	0	208	0	328	120	0	..	0	0	521	200	129	0	0	0	427	0	0	0	307	0	269	407	250	460	0
Parcel-/rækkehus	9493 Saltum	0	0	0	0	0	0	0	..	176	160	0	..	150	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	..	..	0	293	..	0	334	0	0	0	0
